model,directional_accuracy,returns_rmse,returns_r2,price_rmse
Ridge,0.4881889763779528,0.02254140080438992,-0.35668408171447363,1578.7004251699148
Lasso,0.48031496062992124,0.020509540026169684,-0.12312674141187618,1429.9758989783134
ElasticNet,0.48031496062992124,0.02149514480979735,-0.2336662323396015,1500.7972087185547
SVR,0.5118110236220472,0.04059817673469728,-3.400783328063987,2899.802906561425
RandomForest,0.47244094488188976,0.03204222150360385,-1.741335332303212,2107.68427527538
GradientBoosting,0.4566929133858268,0.03698079028136666,-2.6514831644648527,2447.999471104407
