model,directional_accuracy,returns_rmse,returns_r2,price_rmse
Ridge,0.49206349206349204,0.029701893465070073,-0.6014285327090465,0.0028868580779037242
Lasso,0.47619047619047616,0.026784369645383558,-0.3022733403941744,0.002530071582097162
ElasticNet,0.48412698412698413,0.02784514758940615,-0.40746738021302065,0.0026638217838792534
SVR,0.4523809523809524,0.06415482180447815,-6.471329603649456,0.005845877306247725
RandomForest,0.49206349206349204,0.02817400682722787,-0.4409088906673113,0.0026838477273115283
GradientBoosting,0.4603174603174603,0.050681822024316925,-3.6627671594220548,0.004911942931138981
